cname,cloc,usec,govdep,ceo,product
Kwideo,Madison,,,Shamus Howley,Shoes
Katz,Hayama,,,Elmore Kirkbride,Baby
Dabtype,Baracatan,,,Elyssa Malter,Movies
Zoozzy,Zhukovskiy,Prentiss Ruslinge,Legal,,
Trilith,IJmuiden,Amelie Balling,Legal,,
Layo,Ambalavao,Bekki Segges,Support,,
Riffwire,Vannes,,,Renado Quennell,Automotive
Rhynyx,Tabou,,,Abagael Syncke,Automotive
Voolia,Keti Bandar,Orazio Reilly,Sales,,
Eare,Changqi,Matias Tofful,Legal,,
Zooxo,Corquín,,,Shani Hiscoe,Music
Voolia,São Carlos,Darius Organer,Services,,
Devshare,Revolucion Verde,,,Albertina Piers,Baby
Wikizz,Mbandjok,Izak Kaysor,Research and Development,,
Trunyx,Talovyy,Manfred Mourant,Engineering,,
Buzzshare,Zarqa,,,Anne Bythell,Beauty
Dabtype,Jingping,Becca Ubsdell,Business Development,,
Ozu,Bokani,Nissa Gomersal,Business Development,,
Shuffletag,Gengzhuang,Mufinella Daoust,Business Development,,
Topicblab,Mejdan - Obilićevo,Suzann Hubeaux,Research and Development,,
Twitterbridge,Sukth,Claudetta Eyrl,Research and Development,,
Edgetag,Carayaó,Gayler Brownrigg,Sales,,
Centimia,Gaoyi,Reta Engelmann,Sales,,
Oyope,Baoji,Alina Cockshott,Marketing,,
Skajo,Wako,,,Worden Hanbury,Industrial
Innotype,Templeogue,,,Vidovic Brigstock,Sports
Muxo,Prómachoi,,,Anthe Follett,Health
Skimia,Aginskoye,Carrissa Erat,Services,,
Thoughtstorm,Montería,,,Alida Savell,Games
Leenti,Tangzi,,,Jarrod Ivanchov,Toys
Vipe,George Hill,Nefen Fairleigh,Business Development,,
Kare,Guia,Dalton Brushneen,Sales,,
Youspan,Higashimurayama-shi,Libbi Tine,Research and Development,,
Devbug,Xinshichang,Cathlene Marchand,Product Management,,
Leenti,Nakhodka,Son Scurrer,Human Resources,,
Omba,Indianapolis,Creight Spight,Services,,
Buzzster,Pingle,Manya Phinnessy,Legal,,
Vitz,Korczyna,Wendall Ironside,Sales,,
Skyba,Laixi,Montgomery Rosle,Business Development,,
Linkbuzz,Majdal Banī Fāḑil,,,Lissie Gotling,Jewelery
Pixoboo,Monte,Eva Herculson,Human Resources,,
Realpoint,Shaydon,Octavius Featherby,Engineering,,
Wikizz,Goričan,Valaree Saiz,Marketing,,
Twitterbeat,Gusau,,,Fabe Aird,Home
Dynabox,Apartadó,,,Perl O'Calleran,Books
Tagpad,Kadyy,Nanice Wheble,Product Management,,
Trilia,Thị Xã Lai Châu,,,Aretha Pym,Movies
Agivu,Chervonohryhorivka,Germaine Burtonshaw,Research and Development,,
Demivee,Ehen Hudag,Tobye Lightoller,Engineering,,
Tagfeed,Yushugou,Ulla Oger,Product Management,,
Yakijo,Mengxi,Eddie Ludovici,Human Resources,,
Quinu,Sundbyberg,Janella Dener,Support,,
Voonix,Novovladykino,Axe Barefoot,Training,,
Demizz,San Juan,Gearard Dilleston,Human Resources,,
Blogtags,Oslo,Emmaline Robertazzi,Research and Development,,
Photojam,Lubień Kujawski,Kristofor Jindrak,Product Management,,
Edgewire,Soubré,Queenie Mallender,Engineering,,
Voolia,Katori-shi,,,Erhart Pettican,Jewelery
Bluezoom,Tiébo,Alleyn Beccero,Training,,
Kayveo,Al Qaryatayn,Buddy Dorman,Accounting,,
Thoughtmix,Oliveira,Jonie Tuffell,Support,,
Kamba,Alcanhões,Rufe Snowden,Accounting,,
Youfeed,Västervik,Valentina Krzyzowski,Engineering,,
Zoomlounge,Varpaisjärvi,Augustine Elnaugh,Services,,
Meedoo,Espírito Santo do Pinhal,,,Chrissy Perschke,Games
