snum,cname,year,salary,sem
92,Leenti,2012,53550,1
10,Bluezoom,2008,82467,1
21,Tagpad,1994,85573,2
12,Wikizz,2002,61147,1
19,Tagpad,1996,98267,2
87,Shuffletag,2006,17521,2
87,Oyope,2000,93549,2
13,Riffwire,2003,37023,2
26,Voolia,1992,73599,2
100,Kwideo,2010,29992,1
16,Trunyx,2006,70359,2
89,Voolia,2011,81383,2
80,Muxo,2000,33727,2
88,Youspan,1997,99825,2
63,Buzzdog,1998,30944,1
75,Zoomlounge,1997,58091,1
20,Quatz,1992,15965,1
97,Zazio,2005,49106,1
5,Dynabox,2012,79538,2
32,Buzzshare,1978,31630,2
96,Zoombeat,2012,86263,1
89,Quatz,1993,27728,2
79,Leenti,1993,30070,1
32,Tagfeed,2006,72645,2
98,Innotype,2011,23218,1
65,Leenti,1999,47810,2
98,Agivu,1993,72792,2
74,Leenti,1986,49540,1
22,Voolith,1997,25675,1
24,Youfeed,2002,93565,1
14,Zoozzy,2012,52658,2
36,Eare,1997,30225,2
23,Izio,2009,83119,1
21,Gabvine,1995,63239,2
63,Skyba,2006,71889,1
41,Leenti,1997,30581,1
36,Buzzdog,2008,96187,1
69,Layo,1988,25428,2
41,Thoughtmix,2009,58525,2
28,Quire,2011,82927,1
100,Twitterbridge,1994,50219,2
16,Devshare,1988,57017,1
90,LiveZ,1968,17887,2
11,Shuffletag,1994,44627,1
65,Topiclounge,1990,98007,2
57,Voolith,1985,17667,1
36,Agivu,2010,62608,1
59,Dabtype,2011,52626,1
24,Trunyx,1999,26721,1
93,Linkbuzz,2003,81999,2
17,Topicblab,1986,55517,1
41,Demivee,2012,49162,2
25,Devshare,2006,62662,1
73,Skimia,2006,28351,1
93,Riffwire,2010,24307,2
11,Topiclounge,1995,41947,2
52,Dablist,1993,37305,1
19,Eayo,2002,19688,2
43,Eayo,2004,84209,1
54,Rhynoodle,2002,53692,1
87,Meedoo,2008,60803,1
42,Kwideo,1984,91834,2
39,Quire,1996,72473,2
18,Brainbox,2003,59511,2
52,Gabvine,2011,98483,1
37,Wikizz,2012,27868,1
51,Layo,1994,60991,1
70,Edgewire,2006,86813,1
69,Voolia,2011,61034,2
26,Devshare,2008,66643,1
71,Gabvine,1992,32666,1
31,Trunyx,2002,62478,1
13,Riffwire,2010,94008,2
11,Skajo,1998,72863,1
87,Voolith,2009,55931,2
27,Skimia,2007,72872,2
61,Omba,1995,37835,2
40,Edgetag,1967,49575,2
69,Voolith,2002,25394,1
71,Bluezoom,1981,76947,1
31,Riffwire,2009,69942,2
15,Rhynoodle,2008,97436,1
84,Innotype,1995,81248,1
81,Buzzdog,1993,21378,2
38,Quire,2006,72889,1
21,Buzzster,2001,16466,2
10,Quire,1997,34904,1
92,Dynabox,1993,68069,1
41,Brainbox,1994,71018,1
15,Trunyx,1995,71060,2
95,Zoomdog,2000,68014,1
23,Zoomlounge,2008,69650,1
81,Youfeed,2002,31860,2
38,Thoughtmix,1993,95323,1
90,Dynabox,1926,41900,1
84,Blogtags,2007,76829,2
31,Eayo,2011,45590,2
96,Dynabox,1991,66841,2
3,Topiclounge,2010,24564,1
95,Buzzdog,2003,77850,2
